FIPS,Place Name,Agency Name,,Total Acres,Designed Acres,Natural &  Undeveloped Acres,Number Parks,,Non-parkland Acres
,,,,,,,,,
3502000,"Albuquerque, NM",Total,," 21,528 "," 3,163 "," 18,365 ", 315 ,, -   
3502000,"Albuquerque, NM",Albuquerque Parks and Recreation Department,91," 21,000 "," 2,975 "," 18,025 ", 315 ,, -   
3502000,"Albuquerque, NM",Bernalillo County Parks and Recreation Department (within Albuquerque),259, 528 , 188 , 340 , -   ,, -   
0602000,"Anaheim, CA",Total,," 4,611 ", 648 ," 3,963 ", 65 ,, 17 
0602000,"Anaheim, CA",Anaheim Community Services Department,325, 694 , 445 , 249 , 65 ,, -   
0602000,"Anaheim, CA",California Department of Parks and Recreation (within Anaheim),481, 675 , -   , 675 , -   ,, -   
0602000,"Anaheim, CA",Orange County Parks (within Anaheim),326," 3,242 ", 203 ," 3,039 ", -   ,, 17 
0203000,"Anchorage, AK",Total,," 871,795 "," 2,417 "," 869,378 ", 224 ,, -   
0203000,"Anchorage, AK",Alaska Fish and Game (within Anchorage),589, 521 , -   , 521 , -   ,, -   
0203000,"Anchorage, AK",Anchorage Parks and Recreation Department,344," 11,454 "," 2,417 "," 9,037 ", 224 ,, -   
0203000,"Anchorage, AK",BLM / National Park Service (within Anchorage),590," 175,849 ", -   ," 175,849 ", -   ,, -   
0203000,"Anchorage, AK",Chugach National Forest (within Anchorage),585," 226,736 ", -   ," 226,736 ", -   ,, -   
0203000,"Anchorage, AK",Chugach State Park (within Anchorage),367," 457,235 ", -   ," 457,235 ", -   ,, -   
4804000,"Arlington, TX",Total,," 4,317 "," 2,892 "," 1,425 ", 100 ,," 2,043 "
4804000,"Arlington, TX","Arlington, Texas, Parks and Recreation Department",87," 4,317 "," 2,892 "," 1,425 ", 100 ,," 2,043 "
5103000,"Arlington, VA",Total,," 1,785 ", 935 , 850 , 148 ,, -   
5103000,"Arlington, VA",Arlington County Department of Parks and Recreation,425, 950 , 411 , 539 , 148 ,, -   
5103000,"Arlington, VA","National Park Service (within Arlington, Virginia)",426, 700 , 450 , 250 , -   ,, -   
5103000,"Arlington, VA",Northern Virginia Regional Park Authority (within Arlington),468, 135 , 74 , 61 , -   ,, -   
1304000,"Atlanta, GA",Total,," 5,448 "," 3,921 "," 1,527 ", 378 ,, -   
1304000,"Atlanta, GA",Atlanta Beltline Incorporated (ABI),994, 422 , 422 , -   , -   ,, -   
1304000,"Atlanta, GA",Centennial Olympic Park (Atlanta),201, 21 , 21 , -   , -   ,, -   
1304000,"Atlanta, GA",City of Atlanta Department of Parks and Recreation,13," 4,450 "," 3,467 ", 983 , 378 ,, -   
1304000,"Atlanta, GA","DeKalb County Recreation, Parks & Cultural Affairs",979, 17 , -   , 17 , -   ,, -   
1304000,"Atlanta, GA",Department of Watershed Management,1009, 356 , 3 , 353 , -   ,, -   
1304000,"Atlanta, GA",Midtown Alliance,992, 2 , 2 , -   , -   ,, -   
1304000,"Atlanta, GA",National Park Service (within Atlanta),207, 160 , 6 , 154 , -   ,, -   
1304000,"Atlanta, GA",South Fork Conservancy,978, 20 , -   , 20 , -   ,, -   
0804000,"Aurora, CO",Total,," 8,684 "," 2,889 "," 5,795 ", 116 ,," 2,696 "
0804000,"Aurora, CO","Aurora Parks, Recreation and Open Space",436," 8,684 "," 2,889 "," 5,795 ", 116 ,," 2,696 "
4805000,"Austin, TX",Total,," 19,228 "," 4,482 "," 14,746 ", 345 ,, -   
4805000,"Austin, TX",City of Austin Parks and Recreation Department,60," 18,475 "," 4,251 "," 14,224 ", 345 ,, -   
4805000,"Austin, TX",Texas Parks and Wildlife Department (within Austin),113, 678 , 231 , 447 , -   ,, -   
4805000,"Austin, TX",Travis County Parks (within Austin),114, 75 , -   , 75 , -   ,, -   
0603526,"Bakersfield, CA",Total,," 5,364 "," 1,244 "," 4,120 ", 72 ,, -   
0603526,"Bakersfield, CA",Bakersfield Department of Recreation and Parks,328," 5,016 ", 928 ," 4,088 ", 62 ,, -   
0603526,"Bakersfield, CA",Kern County General Services Division - Parks (within Bakersfield),329, 185 , 179 , 6 , -   ,, -   
0603526,"Bakersfield, CA",North of the River Recreation and Park District (a portion of which is within Bakersfield),334, 163 , 137 , 26 , 10 ,, -   
2404000,"Baltimore, MD",Total,," 4,902 "," 2,065 "," 2,837 ", 330 ,, -   
2404000,"Baltimore, MD",Baltimore City Department of Recreation and Parks,17," 4,859 "," 2,022 "," 2,837 ", 330 ,, -   
2404000,"Baltimore, MD",Fort McHenry National Monument and Historic Shrine (within Baltimore),212, 43 , 43 , -   , -   ,, -   
2205000,"Baton Rouge, LA",Total,," 1,455 "," 1,317 ", 138 , 175 ,, 12 
2205000,"Baton Rouge, LA",Recreation and Park Commission for the Parish of East Baton Rouge,390," 1,455 "," 1,317 ", 138 , 175 ,, 12 
PS1608830,"Boise, ID",Total,," 4,322 "," 1,801 "," 2,521 ", 146 ,, 92 
PS1608830,"Boise, ID",Boise Parks and Recreation,433," 4,233 "," 1,801 "," 2,432 ", 146 ,, 92 
PS1608830,"Boise, ID",Idaho Department of Parks and Recreation,607, 89 , -   , 89 , -   ,, -   
2507000,"Boston, MA",Total,," 5,158 "," 3,322 "," 1,836 ", 349 ,, -   
2507000,"Boston, MA",Boston Conservation Commission,239, 156 , 22 , 134 , -   ,, -   
2507000,"Boston, MA",Boston National Historical Park,214, 39 , 39 , -   , 3 ,, -   
2507000,"Boston, MA",Boston Parks and Recreation Department,9," 2,196 "," 2,111 ", 86 , 286 ,, -   
2507000,"Boston, MA",Forest Hills Cemetery,1003, 244 , 244 , -   , -   ,, -   
2507000,"Boston, MA",Massachusetts Department of Conservation and Recreation (within Boston),31," 2,516 ", 905 ," 1,611 ", 60 ,, -   
2507000,"Boston, MA",Massachusetts Port Authority (within Boston),311, 7 , 1 , 6 , -   ,, -   
3611000,"Buffalo, NY",Total,," 2,384 "," 1,889 ", 495 , 214 ,, -   
3611000,"Buffalo, NY",Buffalo Division of Parks and Recreation,345," 1,852 "," 1,616 ", 236 , 208 ,, -   
3611000,"Buffalo, NY",Erie Canal Harbor Development Corporation (Outer Harbor),940, 247 , 247 , -   , -   ,, -   
3611000,"Buffalo, NY","Erie County Department of Parks, Recreation and Forestry (within Buffalo)",402, 94 , 25 , 69 , 6 ,, -   
3611000,"Buffalo, NY","New York State Office of Parks, Recreation & Historic Preservation (within Buffalo)",368, 191 , 1 , 190 , -   ,, -   
0412000,"Chandler, AZ",Total,," 1,518 "," 1,317 ", 202 , 69 ,, -   
0412000,"Chandler, AZ",Chandler Community Services Department,384," 1,518 "," 1,317 ", 202 , 69 ,, -   
PS3712000,"Charlotte/Mecklenburg, NC",Total,," 22,755 "," 12,611 "," 10,144 ", -   ,, -   
PS3712000,"Charlotte/Mecklenburg, NC",Mecklenburg County Park and Recreation,69," 21,621 "," 12,057 "," 9,564 ", -   ,, -   
PS3712000,"Charlotte/Mecklenburg, NC",Town of Cornelius,974, 442 , 192 , 250 , -   ,, -   
PS3712000,"Charlotte/Mecklenburg, NC",Town of Davidson,971, 265 , 48 , 217 , -   ,, -   
PS3712000,"Charlotte/Mecklenburg, NC",Town of Huntersville,972, 31 , 14 , 17 , -   ,, -   
PS3712000,"Charlotte/Mecklenburg, NC","Town of Matthews Parks, Recreation and Cultural Resource Department",969, 239 , 168 , 71 , -   ,, -   
PS3712000,"Charlotte/Mecklenburg, NC",Town of Mint Hill,970, 106 , 81 , 25 , -   ,, -   
PS3712000,"Charlotte/Mecklenburg, NC",Town of Pineville,973, 51 , 51 , -   , -   ,, -   
5116000,"Chesapeake, VA",Total,," 58,966 "," 1,159 "," 57,808 ", 88 ,," 1,511 "
5116000,"Chesapeake, VA","Chesapeake Department of Parks, Recreation and Tourism",417," 3,467 "," 1,159 "," 2,309 ", 88 ,," 1,511 "
5116000,"Chesapeake, VA",Great Dismal Swamp National Wildlife Refuge (within Chesapeake),418," 49,254 ", -   ," 49,254 ", -   ,, -   
5116000,"Chesapeake, VA",The Nature Conservancy (within Chesapeake),998," 2,475 ", -   ," 2,475 ", -   ,, -   
5116000,"Chesapeake, VA",Virginia Department of Game and Inland Fisheries (within Chesapeake),434," 3,770 ", -   ," 3,770 ", -   ,, -   
1714000,"Chicago, IL",Total,," 13,821 "," 9,267 "," 4,554 ", 645 ,, -   
1714000,"Chicago, IL",Chicago Park District,3," 8,932 "," 6,927 "," 2,005 ", 616 ,, -   
1714000,"Chicago, IL",Forest Preserve District of Cook County (within Chicago),41," 3,142 ", 996 ," 2,146 ", 29 ,, -   
1714000,"Chicago, IL",Illinois Department of Natural Resources (within Chicago),238, 613 , 210 , 403 , -   ,, -   
1714000,"Chicago, IL",Illinois International Port District (within Chicago),467, 442 , 442 , -   , -   ,, -   
1714000,"Chicago, IL","Joint-Use Schools (within Chicago) -- All schools, Campus Parks, Space to Grow schools",487, 692 , 692 , -   , -   ,, -   
0613392,"Chula Vista, CA",Total,," 2,482 ", 551 ," 1,931 ", 68 ,, -   
0613392,"Chula Vista, CA",City of Chula Vista Community Services Department - Parks & Recreation Division,414," 2,062 ", 551 ," 1,511 ", 66 ,, -   
0613392,"Chula Vista, CA",San Diego County Parks and Recreation (within Chula Vista),415, 349 , -   , 349 , 2 ,, -   
0613392,"Chula Vista, CA","USFWS, San Diego Bay National Wildlife Refuge and San Diego National Wildlife Refuge",416, 71 , -   , 71 , -   ,, -   
3915000,"Cincinnati, OH",Total,," 7,799 "," 3,044 "," 4,755 ", 282 ,, 97 
3915000,"Cincinnati, OH",Cincinnati Park Board,21," 5,283 ", 845 ," 4,438 ", 125 ,, 97 
3915000,"Cincinnati, OH",Cincinnati Recreation Commission,14," 1,373 "," 1,355 ", 18 , 153 ,, -   
3915000,"Cincinnati, OH",Great Parks of Hamilton County (within Cincinnati),230, 407 , 108 , 299 , 4 ,, -   
3915000,"Cincinnati, OH",Spring Grove Cemetery & Arboretum,1004, 733 , 733 , -   , -   ,, -   
3915000,"Cincinnati, OH",William Howard Taft National Historic Site (within Cincinnati),209, 3 , 3 , -   , -   ,, -   
3916000,"Cleveland, OH",Total,," 3,273 "," 1,686 "," 1,587 ", 169 ,, 253 
3916000,"Cleveland, OH",Cleveland Department of Public Works,6," 1,246 "," 1,246 ", -   , 161 ,, 73 
3916000,"Cleveland, OH",Cleveland Metroparks (within Cleveland),117," 1,948 ", 361 ," 1,587 ", 8 ,, 180 
3916000,"Cleveland, OH",Cuyahoga County Department of Public Works (Towpath Trail),936, 79 , 79 , -   , -   ,, -   
0816000,"Colorado Springs, CO",Total,," 15,275 "," 3,215 "," 12,060 ", 248 ,, 772 
0816000,"Colorado Springs, CO","Colorado Parks and Wildlife (CO Springs), Cheyenne Mountain State Park",255," 1,407 ", 80 ," 1,327 ", -   ,, -   
0816000,"Colorado Springs, CO","Colorado Springs Parks, Recreation and Cultural Services",78," 13,323 "," 3,005 "," 10,318 ", 247 ,, 693 
0816000,"Colorado Springs, CO",El Paso County Parks and Community Services (within the City of Colorado Springs only),289, 545 , 130 , 415 , 1 ,, 79 
3918000,"Columbus, OH",Total,," 15,638 "," 9,630 "," 6,008 ", 415 ,, 160 
3918000,"Columbus, OH",Columbus and Franklin County Metro Park District (within Columbus),262," 4,400 ", 700 ," 3,700 ", -   ,, -   
3918000,"Columbus, OH",Columbus Recreation and Parks Department,70," 11,238 "," 8,930 "," 2,308 ", 415 ,, 160 
4817000,"Corpus Christi, TX",Total,," 7,077 "," 2,134 "," 4,943 ", 194 ,, -   
4817000,"Corpus Christi, TX",Corpus Christi Parks and Recreation Department,342," 2,094 "," 1,874 ", 220 , 194 ,, -   
4817000,"Corpus Christi, TX",Nueces County Coastal Parks (within Corpus Christi),359, 300 , 150 , 150 , -   ,, -   
4817000,"Corpus Christi, TX",Texas Parks and Wildlife Department (within Corpus Christi),479," 4,683 ", 110 ," 4,573 ", -   ,, -   
4819000,"Dallas, TX",Total,," 21,227 "," 10,204 "," 11,023 ", 412 ,, 32 
4819000,"Dallas, TX",Dallas Park and Recreation Department,24," 21,227 "," 10,204 "," 11,023 ", 412 ,, 32 
0820000,"Denver, CO",Total,," 7,090 "," 4,422 "," 2,668 ", 322 ,, -   
0820000,"Denver, CO",Denver Parks and Recreation,18," 7,090 "," 4,422 "," 2,668 ", 322 ,, -   
2622000,"Detroit, MI",Total,," 5,102 "," 4,077 "," 1,025 ", 304 ,, -   
2622000,"Detroit, MI",Detroit Parks & Recreation,11," 5,020 "," 4,000 "," 1,020 ", 304 ,, -   
2622000,"Detroit, MI",William G. Milliken State Park and Harbor (Detroit),401, 82 , 77 , 5 , -   ,, -   
3719000,"Durham, NC",Total,," 2,756 ", 269 ," 2,487 ", -   ,, -   
3719000,"Durham, NC",Duke University,1000, 496 , -   , 496 , -   ,, -   
3719000,"Durham, NC",Durham Parks and Recreation Department,391," 1,965 ", 269 ," 1,696 ", -   ,, -   
3719000,"Durham, NC",Eno River State Park (within Durham),397, 295 , -   , 295 , -   ,, -   
4824000,"El Paso, TX",Total,," 29,472 "," 2,542 "," 26,930 ", 252 ,, 19 
4824000,"El Paso, TX",Chamizal National Memorial (within El Paso),263, 55 , 55 , -   , -   ,, -   
4824000,"El Paso, TX",El Paso County Department of Parks and Recreation (within El Paso City),291, 439 , 439 , -   , -   ,, -   
4824000,"El Paso, TX",El Paso Parks and Recreation Department,89," 3,227 "," 1,921 "," 1,306 ", 252 ,, 19 
4824000,"El Paso, TX",Texas Parks and Wildlife Department (within El Paso),304," 25,751 ", 127 ," 25,624 ", -   ,, -   
4827000,"Fort Worth, TX",Total,," 12,766 "," 8,199 "," 4,567 ", 298 ,, 276 
4827000,"Fort Worth, TX",Fort Worth Park & Recreation Department,94," 12,766 "," 8,199 "," 4,567 ", 298 ,, 276 
0626000,"Fremont, CA",Total,," 21,957 "," 1,966 "," 19,992 ", 74 ,," 1,007 "
0626000,"Fremont, CA",Don Edwards San Francisco Bay National Wildlife Refuge (within Fremont),444," 15,446 ", -   ," 15,446 ", -   ,, -   
0626000,"Fremont, CA",East Bay Regional Park District (within Fremont),445," 5,287 ", 890 ," 4,397 ", 10 ,, -   
0626000,"Fremont, CA",Fremont Community Services Department,441," 1,224 "," 1,076 ", 149 , 64 ,," 1,007 "
0627000,"Fresno, CA",Total,," 2,481 "," 1,826 ", 655 , 167 ,, -   
0627000,"Fresno, CA",Calwa Recreation and Park District,838, 18 , 18 , -   , -   ,, -   
0627000,"Fresno, CA",Fresno Metropolitan Flood Control District,839, 144 , 144 , -   , -   ,, -   
0627000,"Fresno, CA","Fresno Parks, After School, Recreation and Community Services Department",82," 1,727 "," 1,530 ", 197 , 165 ,, -   
0627000,"Fresno, CA",San Joaquin River Conservancy (State of California),594, 592 , 134 , 458 , 2 ,, -   
4829000,"Garland, TX",Total,," 2,951 ", 695 ," 2,256 ", 61 ,, -   
4829000,"Garland, TX",Garland Parks and Recreation,420," 2,951 ", 695 ," 2,256 ", 61 ,, -   
0427400,"Gilbert, AZ",Total,," 1,348 ", 572 , 776 , 41 ,, -   
0427400,"Gilbert, AZ",Gilbert Parks and Recreation,419," 1,348 ", 572 , 776 , 41 ,, -   
0427820,"Glendale, AZ",Total,," 2,100 ", 915 ," 1,185 ", 74 ,, 81 
0427820,"Glendale, AZ",Glendale Parks and Recreation Department,352," 2,100 ", 915 ," 1,185 ", 74 ,, 81 
PS3728000,"Greensboro, NC",Total,," 8,360 "," 2,760 "," 5,600 ", 210 ,, -   
PS3728000,"Greensboro, NC",Greensboro Parks and Recreation Department,382," 8,110 "," 2,710 "," 5,400 ", 210 ,, -   
PS3728000,"Greensboro, NC",Guilford Courthouse National Military Park (within Greensboro),383, 250 , 50 , 200 , -   ,, -   
3231900,"Henderson, NV",Total,," 5,548 "," 1,382 "," 4,166 ", 73 ,, 635 
3231900,"Henderson, NV",Henderson Parks and Recreation Department,356," 5,548 "," 1,382 "," 4,166 ", 73 ,, 635 
PS1571550,"Honolulu, HI",Total,," 66,463 "," 5,242 "," 61,222 ", 402 ,, 58 
PS1571550,"Honolulu, HI",Hawaii Division of Forestry and Wildlife (within O&apos;ahu),477," 42,734 ", -   ," 42,734 ", -   ,, -   
PS1571550,"Honolulu, HI",Honolulu Department of Parks and Recreation,92," 6,672 "," 4,982 "," 1,690 ", 402 ,, 58 
PS1571550,"Honolulu, HI",Kōkua Kalihi Valley Comprehensive Family Services (KKV),1010, 100 , -   , 100 , -   ,, -   
PS1571550,"Honolulu, HI","State of Hawaii, Department of Land and Natural Resources, Division of State Parks, Hawaii State Parks",266," 12,017 ", 260 ," 11,758 ", -   ,, -   
PS1571550,"Honolulu, HI",US FWS - Honolulu,907," 4,940 ", -   ," 4,940 ", -   ,, -   
PS4835000,"Houston, TX",Total,," 45,059 "," 26,503 "," 18,556 ", 703 ,," 4,182 "
PS4835000,"Houston, TX",Clear Lake City Community Association ,916, 48 , 48 , -   , -   ,, -   
PS4835000,"Houston, TX",Clear Lake City Water Authority,919, 203 , 75 , 128 , -   ,, -   
PS4835000,"Houston, TX",Fort Bend County Parks and Recreation Department (within Houston),333," 1,994 ", 233 ," 1,761 ", 4 ,, -   
PS4835000,"Houston, TX",Harris County - Precinct 1 (within Houston),952," 2,054 ", 751 ," 1,303 ", -   ,, -   
PS4835000,"Houston, TX",Harris County - Precinct 2 (within Houston),951, 107 , 63 , 43 , -   ,, -   
PS4835000,"Houston, TX",Harris County - Precinct 3 (within Houston),953, 359 , 340 , 20 , -   ,, -   
PS4835000,"Houston, TX",Harris County - Precinct 4 (within Houston),954," 12,149 "," 12,149 ", -   , -   ,, -   
PS4835000,"Houston, TX",Houston Heights Association,920, 1 , 1 , -   , -   ,, -   
PS4835000,"Houston, TX",Houston Parks and Recreation Department,20," 24,577 "," 10,807 "," 13,770 ", 548 ,," 4,054 "
PS4835000,"Houston, TX",Houston Parks Board,336," 2,519 "," 1,348 "," 1,171 ", 22 ,, -   
PS4835000,"Houston, TX",LGCs (Local Government Corporations),927, 14 , 14 , -   , -   ,, 127 
PS4835000,"Houston, TX",MMDs (Municipal Management Districts),906, 145 , 120 , 25 , -   ,, -   
PS4835000,"Houston, TX",SPARK,485, 403 , 403 , -   , 129 ,, -   
PS4835000,"Houston, TX",Lovett Commercial (POST Skylawn),1017, 3 , 3 , -   , -   ,, -   
PS4835000,"Houston, TX",Houston Audubon (Edith L. Moore Nature Sanctuary),1016, 35 , -   , 35 , -   ,, 1 
PS4835000,"Houston, TX",Texas Medical Center - Public Parks & Gardens,1034, 22 , 21 , 1 , -   ,, -   
PS4835000,"Houston, TX",Texas Historical Commission (San Jacinto),924, 427 , 127 , 300 , -   ,, -   
0636770,"Irvine, CA",Total,," 11,008 "," 3,638 "," 7,370 ", 341 ,, 17 
0636770,"Irvine, CA",City of Irvine,427," 10,653 "," 3,283 "," 7,370 ", 341 ,, -   
0636770,"Irvine, CA",Orange County Parks (within Irvine),428, 339 , 339 , -   , -   ,, 17 
0636770,"Irvine, CA",University of California Irvine,965, 16 , 16 , -   , -   ,, -   
4837000,"Irving, TX",Total,," 1,980 "," 1,544 ", 436 , 101 ,, 295 
4837000,"Irving, TX",Irving Parks and Recreation,437," 1,980 "," 1,544 ", 436 , 101 ,, 295 
1235000,"Jacksonville, FL",Total,," 84,524 "," 8,359 "," 76,165 ", 414 ,, -   
1235000,"Jacksonville, FL",Florida Forest Service (within Jacksonville),474," 9,781 ", -   ," 9,781 ", -   ,, -   
1235000,"Jacksonville, FL",Florida Park Service (within Jacksonville) Talbot Islands State Park,305," 8,596 ", 315 ," 8,281 ", -   ,, -   
1235000,"Jacksonville, FL","Jacksonville Parks, Recreation, and Community Services Department",56," 36,650 "," 8,044 "," 28,606 ", 407 ,, -   
1235000,"Jacksonville, FL",North Florida Land Trust (Bogey Creek Preserve),966, 86 , -   , 86 , -   ,, -   
1235000,"Jacksonville, FL",St. Johns River Water Management District (within City of Jacksonville),313," 7,470 ", -   ," 7,470 ", 7 ,, -   
1235000,"Jacksonville, FL",Timucuan Ecological and Historic Preserve and Fort Caroline Memorial (NPS within Jacksonville),267," 21,559 ", -   ," 21,559 ", -   ,, -   
1235000,"Jacksonville, FL",University of North Florida (Sawmill Slough Preserve),967, 382 , -   , 382 , -   ,, -   
3436000,"Jersey City, NJ",Total,," 1,091 ", 637 , 454 , 73 ,, -   
3436000,"Jersey City, NJ",Hudson County Division of Parks (within Jersey City),364, 283 , 197 , 86 , -   ,, -   
3436000,"Jersey City, NJ",Jersey City Division of Park Maintenance,353, 208 , 188 , 20 , 73 ,, -   
3436000,"Jersey City, NJ",New Jersey Division of Parks and Forestry (within Jersey City),373, 600 , 252 , 348 , -   ,, -   
2938000,"Kansas City, MO",Total,," 19,016 "," 8,546 "," 10,470 ", 221 ,, 271 
2938000,"Kansas City, MO",Jackson County Parks + Rec (within Kansas City),225," 5,390 ", 740 ," 4,650 ", -   ,, -   
2938000,"Kansas City, MO","Kansas City, Missouri Parks and Recreation",26," 13,626 "," 7,806 "," 5,820 ", 221 ,, 271 
4841464,"Laredo, TX",Total,," 2,447 "," 1,356 "," 1,091 ", 105 ,, 272 
4841464,"Laredo, TX",Laredo Parks and Recreation Department,409," 1,390 "," 1,085 ", 305 , 105 ,, 272 
4841464,"Laredo, TX",Texas Parks and Wildlife Department  (Laredo),411," 1,057 ", 271 , 786 , -   ,, -   
3240000,"Las Vegas, NV",Total,," 14,972 "," 1,439 "," 13,533 ", 117 ,, -   
3240000,"Las Vegas, NV",Bureau of Land Management,623," 12,863 ", -   ," 12,863 ", -   ,, -   
3240000,"Las Vegas, NV",Las Vegas Department of Parks and Recreation,68," 1,780 "," 1,110 ", 670 , 116 ,, -   
3240000,"Las Vegas, NV",Nevada Division of State Parks (within Las Vegas),295, 3 , 3 , -   , 1 ,, -   
3240000,"Las Vegas, NV",Private parks (within Las Vegas),610, 326 , 326 , -   , -   ,, -   
2146027,"Lexington/Fayette, KY",Total,," 4,410 "," 3,384 "," 1,026 ", 101 ,, -   
2146027,"Lexington/Fayette, KY",Kentucky Department of Parks (within Lexington),371, 13 , 13 , -   , -   ,, -   
2146027,"Lexington/Fayette, KY",Lexington-Fayette Urban County Government Division of Parks and Recreation,347," 4,397 "," 3,371 "," 1,026 ", 101 ,, -   
PS3128000,"Lincoln, NE",Total,," 3,830 "," 3,214 ", 616 , 150 ,, 63 
PS3128000,"Lincoln, NE",Lincoln Parks and Recreation Department,355," 3,830 "," 3,214 ", 616 , 150 ,, 63 
0643000,"Long Beach, CA",Total,," 3,034 "," 2,421 ", 613 , 166 ,, 45 
0643000,"Long Beach, CA","Long Beach Department of Parks, Recreation and Marine",85," 3,034 "," 2,421 ", 613 , 166 ,, 45 
0644000,"Los Angeles, CA",Total,," 39,628 "," 11,847 "," 27,781 ", 14 ,, -   
0644000,"Los Angeles, CA",Angeles National Forest,476," 3,696 ", -   ," 3,696 ", -   ,, -   
0644000,"Los Angeles, CA",California State Parks (Angeles District),216," 10,465 ", 120 ," 10,345 ", -   ,, -   
0644000,"Los Angeles, CA",County of Los Angeles Department of Parks and Recreation (within Los Angeles City),244," 1,013 ", 972 , 41 , 14 ,, -   
0644000,"Los Angeles, CA",Los Angeles Department of Recreation and Parks,8," 16,188 "," 10,600 "," 5,588 ", -   ,, -   
0644000,"Los Angeles, CA",Los Angeles Department of Water and Power (within Los Angeles City),245, 288 , -   , 288 , -   ,, -   
0644000,"Los Angeles, CA",Mountains Recreation and Conservation Authority (within Los Angeles),217," 7,853 ", 53 ," 7,800 ", -   ,, -   
0644000,"Los Angeles, CA",Port of Los Angeles,448, 125 , 102 , 23 , -   ,, -   
2148006,"Louisville, KY",Total,," 17,862 "," 6,554 "," 11,308 ", 132 ,, -   
2148006,"Louisville, KY","21st Century Parks, Inc. dba The Parklands of Floyds Fork",449," 4,000 "," 1,200 "," 2,800 ", 4 ,, -   
