FIPS,Place Name,Agency Name,,Total Acres,Designed Acres,Natural &  Undeveloped Acres,Number Parks,,Non-parkland Acres
2148006,"Louisville, KY","E.P. ""Tom"" Sawyer State Park",306, 564 , 264 , 300 , -   ,, -   
2148006,"Louisville, KY",Louisville Parks and Recreation,52," 13,190 "," 5,005 "," 8,185 ", 127 ,, -   
2148006,"Louisville, KY",Louisville Waterfront Park,307, 108 , 85 , 23 , 1 ,, -   
4845000,"Lubbock, TX",Total,," 3,482 "," 2,405 "," 1,077 ", 83 ,, 363 
4845000,"Lubbock, TX",Lubbock Parks and Recreation,412," 3,482 "," 2,405 "," 1,077 ", 83 ,, 363 
5548000,"Madison, WI",Total,," 7,075 "," 5,504 "," 1,571 ", 280 ,, 6 
5548000,"Madison, WI",Dane County Parks Division (within Madison),392," 1,014 ", 452 , 562 , -   ,, -   
5548000,"Madison, WI",Madison Parks Division,387," 4,821 "," 3,812 "," 1,009 ", 280 ,, 6 
5548000,"Madison, WI",University of Wisconsin - Madison,608," 1,240 "," 1,240 ", -   , -   ,, -   
4748000,"Memphis, TN",Total,," 11,645 "," 9,598 "," 2,047 ", 202 ,, -   
4748000,"Memphis, TN",Memphis Parks,59," 5,534 "," 5,298 ", 236 , 189 ,, -   
4748000,"Memphis, TN",Memphis River Parks Partnership,465, 300 , 300 , -   , 12 ,, -   
4748000,"Memphis, TN",Shelby County Department of Public Works (Shelby Farms),933," 4,000 "," 4,000 ", -   , -   ,, -   
4748000,"Memphis, TN",T.O. Fuller State Park,271," 1,600 ", -   ," 1,600 ", 1 ,, -   
4748000,"Memphis, TN",Wolf River Conservancy - Acreage Only,1001, 211 , -   , 211 , -   ,, -   
0446000,"Mesa, AZ",Total,," 2,516 "," 2,166 ", 351 , 223 ,, -   
0446000,"Mesa, AZ","Mesa Parks, Recreation and Community Facilities Department",77," 2,516 "," 2,166 ", 351 , 223 ,, -   
1245000,"Miami, FL",Total,," 1,622 ", 988 , 634 , 1 ,, -   
1245000,"Miami, FL",Bayfront Park Management Trust,107, 55 , 55 , -   , -   ,, -   
1245000,"Miami, FL",Miami Department of Parks and Recreation,4," 1,450 ", 886 , 564 , -   ,, -   
1245000,"Miami, FL","Miami-Dade County Parks, Recreation and Open Spaces Department",231, 35 , 25 , 10 , -   ,, -   
1245000,"Miami, FL",Virginia Key Beach Park Trust,483, 82 , 22 , 60 , 1 ,, -   
5553000,"Milwaukee, WI",Total,," 5,603 "," 2,880 "," 2,723 ", 238 ,, -   
5553000,"Milwaukee, WI","Milwaukee County Department of Parks, Recreation and Culture (within City of Milwaukee)",74," 4,760 "," 2,362 "," 2,398 ", 103 ,, -   
5553000,"Milwaukee, WI",Milwaukee Department of Public Works,457, 165 , 132 , 33 , 80 ,, -   
5553000,"Milwaukee, WI",Milwaukee Recreation,451, 319 , 297 , 22 , 52 ,, -   
5553000,"Milwaukee, WI",Wisconsin Department of Natural Resources,455, 359 , 89 , 270 , 3 ,, -   
2743000,"Minneapolis, MN",Total,," 5,090 "," 3,579 "," 1,511 ", 179 ,, 282 
2743000,"Minneapolis, MN",Minneapolis Park and Recreation Board,22," 5,090 "," 3,579 "," 1,511 ", 179 ,, 282 
4752006,"Nashville/Davidson, TN",Total,," 24,831 "," 7,623 "," 17,208 ", 235 ,, 36 
4752006,"Nashville/Davidson, TN",Nashville/Davidson Metropolitan Board of Parks and Recreation,64," 13,967 "," 5,453 "," 8,514 ", 235 ,, 36 
4752006,"Nashville/Davidson, TN",Tennessee Department of Environment and Conservation (Nashville),453," 4,395 ", 67 ," 4,328 ", -   ,, -   
4752006,"Nashville/Davidson, TN",Tennessee Wildlife Resource Agency (within Nashville/Davidson),452," 2,920 ", 118 ," 2,802 ", -   ,, -   
4752006,"Nashville/Davidson, TN",U.S. Army Corps of Engineers (within Nashville/Davidson),454," 3,549 "," 1,985 "," 1,564 ", -   ,, -   
2255000,"New Orleans, LA",Total,," 24,738 "," 2,424 "," 22,314 ", 223 ,," 1,049 "
2255000,"New Orleans, LA",Audubon Nature Institute,104, 492 , 278 , 214 , -   ,," 1,049 "
2255000,"New Orleans, LA",Bayou Sauvage National Wildlife Refuge (within New Orleans),319," 21,478 ", -   ," 21,478 ", -   ,, -   
2255000,"New Orleans, LA",French Market Corporation,297, 24 , 24 , -   , -   ,, -   
2255000,"New Orleans, LA",Municipal Yacht Harbor,296, 30 , 30 , -   , -   ,, -   
2255000,"New Orleans, LA",New Orleans City Park Improvement Association,102," 1,300 "," 1,140 ", 160 , 1 ,, -   
2255000,"New Orleans, LA",New Orleans Department of Parks and Parkways,67, 483 , 373 , 110 , 56 ,, -   
2255000,"New Orleans, LA",New Orleans Recreation Development Commission,103, 580 , 579 , 1 , 166 ,, -   
2255000,"New Orleans, LA",Non-Flood Protection Asset Management Authority / Levee Board (within New Orleans),480, 351 , -   , 351 , -   ,, -   
3651000,"New York, NY",Total,," 38,905 "," 19,605 "," 19,299 "," 4,289 ",," 1,412 "
3651000,"New York, NY",Brooklyn Bridge Park Development Corporation,635, 85 , 85 , -   , -   ,, -   
3651000,"New York, NY",Gateway National Recreation Area (within New York City),48," 7,047 ", 206 ," 6,841 ", 13 ,, -   
3651000,"New York, NY",Hudson River Park Trust ,488, 150 , 150 , -   , 1 ,, 400 
3651000,"New York, NY","National Park Service, Manhattan Sites",338, 27 , 27 , -   , -   ,, -   
3651000,"New York, NY",New York City Department of Parks and Recreation,5," 29,622 "," 18,489 "," 11,133 "," 4,275 ",," 1,012 "
3651000,"New York, NY",New York State Department of Environmental Conservation (within New York City),254, 633 , -   , 633 , -   ,, -   
3651000,"New York, NY","New York State Office of Parks, Recreation and Historic Preservation (within New York City)",206," 1,326 ", 633 , 692 , -   ,, -   
3651000,"New York, NY",Statue of Liberty National Monument and Ellis Island,298, 15 , 15 , -   , -   ,, -   
3451000,"Newark, NJ",Total,, 853 , 807 , 46 , 99 ,, 1 
3451000,"Newark, NJ","Essex County Department of Parks, Recreation, and Cultural Affairs",360, 757 , 711 , 46 , 10 ,, 1 
3451000,"Newark, NJ","Newark Department of Recreation, Cultural Affairs, and Senior Services",343, 96 , 96 , -   , 89 ,, -   
5157000,"Norfolk, VA",Total,," 1,792 "," 1,564 ", 228 , 166 ,, 596 
5157000,"Norfolk, VA",Norfolk Department of Parks & Recreation,386," 1,792 "," 1,564 ", 228 , 166 ,, 596 
3251800,"North Las Vegas, NV",Total,," 16,929 ", 963 ," 15,966 ", 34 ,, 30 
3251800,"North Las Vegas, NV",Bureau of Land Management (within North Las Vegas),609," 15,684 ", -   ," 15,684 ", -   ,, -   
3251800,"North Las Vegas, NV",City of North Las Vegas Department of Neighborhood and Lesiure Services (Parks and Recreation),413," 1,245 ", 963 , 282 , 34 ,, 30 
0653000,"Oakland, CA",Total,," 4,927 "," 2,098 "," 2,829 ", 163 ,, 23 
0653000,"Oakland, CA",East Bay Regional Park District (within Oakland),276," 1,033 ", 267 , 766 , 14 ,, 3 
0653000,"Oakland, CA","Oakland Parks, Recreation & Youth Development",79," 3,633 "," 1,768 "," 1,865 ", 149 ,, 20 
0653000,"Oakland, CA",Port of Oakland,459, 261 , 63 , 198 , -   ,, -   
PS4055000,"Oklahoma City, OK",Total,," 25,801 "," 8,621 "," 17,180 ", 198 ,," 2,065 "
PS4055000,"Oklahoma City, OK",Oklahoma City Parks and Recreation Department,55," 25,801 "," 8,621 "," 17,180 ", 198 ,," 2,065 "
PS3137000,"Omaha, NE",Total,," 10,336 "," 4,376 "," 5,960 ", 254 ,, 40 
PS3137000,"Omaha, NE","Omaha Department of Parks, Recreation and Public Property",314," 10,336 "," 4,376 "," 5,960 ", 254 ,, 40 
1253000,"Orlando, FL",Total,," 3,500 "," 2,983 ", 517 , 127 ,, 227 
1253000,"Orlando, FL",Orange County Parks and Recreation Division (within Orlando),393, 24 , 24 , -   , 4 ,, -   
1253000,"Orlando, FL","Orlando Families, Parks and Recreation Department",388," 3,476 "," 2,959 ", 517 , 123 ,, 227 
4260000,"Philadelphia, PA",Total,," 10,652 "," 4,116 "," 6,536 ", 495 ,, 7 
4260000,"Philadelphia, PA",Benjamin Rush State Park,220, 315 , 180 , 135 , -   ,, -   
4260000,"Philadelphia, PA",Independence National Historical Park,213, 55 , 55 , -   , -   ,, -   
4260000,"Philadelphia, PA",John Heinz National Wildlife Refuge at Tinicum,440, 300 , 5 , 295 , -   ,, -   
4260000,"Philadelphia, PA",Philadelphia Parks & Recreation,435," 9,882 "," 3,776 "," 6,106 ", 495 ,, 7 
4260000,"Philadelphia, PA",University of Pennsylvania ,458, 100 , 100 , -   , -   ,, -   
0455000,"Phoenix, AZ",Total,," 51,020 "," 11,951 "," 39,069 ", 234 ,," 1,503 "
0455000,"Phoenix, AZ",City of Glendale (Acreage within Phoenix),1002, 663 , 663 , -   , -   ,, -   
0455000,"Phoenix, AZ",City of Phoenix Parks and Recreation Department,28," 49,004 "," 10,368 "," 38,636 ", 232 ,," 1,503 "
0455000,"Phoenix, AZ",Maricopa County Parks and Recreation Department (within Phoenix),223," 1,353 ", 920 , 433 , 2 ,, -   
4261000,"Pittsburgh, PA",Total,," 4,175 ", 978 ," 3,197 ", -   ,, -   
4261000,"Pittsburgh, PA",Pittsburgh Departments of Public Works and Parks & Recreation,35," 4,139 ", 942 ," 3,197 ", -   ,, -   
4261000,"Pittsburgh, PA",Point State Park,224, 36 , 36 , -   , -   ,, -   
4858016,"Plano, TX",Total,," 3,938 "," 2,048 "," 1,890 ", 136 ,, 124 
4858016,"Plano, TX",City of Allen (within Plano),993, 212 , 212 , -   , -   ,, -   
4858016,"Plano, TX",Plano Parks and Recreation Department,348," 3,726 "," 1,836 "," 1,890 ", 136 ,, 124 
1258715,"Port St. Lucie, FL",Total,," 2,722 ", 612 ," 2,110 ", 45 ,, 236 
1258715,"Port St. Lucie, FL",St. Lucie County Parks and Recreation Department,1042, 322 , -   , 322 , -   ,, -   
1258715,"Port St. Lucie, FL",City of Port St. Lucie Parks & Recreation,1040, 928 , 612 , 316 , 45 ,, 236 
1258715,"Port St. Lucie, FL",Non-city acreage,1041," 1,472 ", -   ," 1,472 ", -   ,, -   
4159000,"Portland, OR",Total,," 14,342 "," 5,658 "," 8,684 ", 328 ,, -   
4159000,"Portland, OR",Metro Regional Parks and Greenspaces (within Portland),221," 2,010 "," 2,010 ", -   , 4 ,, -   
4159000,"Portland, OR",Oregon Parks and Recreation Department,200, 660 , 10 , 650 , -   ,, -   
4159000,"Portland, OR",Portland Parks & Recreation,23," 11,672 "," 3,638 "," 8,034 ", 324 ,, -   
3755000,"Raleigh, NC",Total,," 10,791 "," 1,985 "," 8,806 ", 167 ,, 251 
3755000,"Raleigh, NC","Raleigh Parks, Recreation and Cultural Resources Department",320," 5,049 "," 1,704 "," 3,345 ", 167 ,, 251 
3755000,"Raleigh, NC","Wake County Parks, Recreation and Open Space (within Raleigh)",322, 143 , 106 , 37 , -   ,, -   
3755000,"Raleigh, NC",William B. Umstead State Park (within Raleigh),321," 5,599 ", 175 ," 5,424 ", -   ,, -   
3260600,"Reno, NV",Total,," 3,373 ", 801 ," 2,572 ", 87 ,, -   
3260600,"Reno, NV",City of Reno Parks and Recreation Department,422," 2,894 ", 801 ," 2,093 ", 87 ,, -   
3260600,"Reno, NV",Washoe County Regional Parks and Open Space (within Reno),423, 479 , -   , 479 , -   ,, -   
5167000,"Richmond, VA",Total,," 2,794 "," 2,247 ", 547 , 193 ,, -   
5167000,"Richmond, VA","Richmond Department of Parks, Recreation and Community Facilities",490," 2,794 "," 2,247 ", 547 , 193 ,, -   
0662000,"Riverside, CA",Total,," 3,976 ", 707 ," 3,269 ", 72 ,, -   
0662000,"Riverside, CA",California Department of Parks and Recreation (within Riverside),366, 247 , 24 , 223 , -   ,, -   
0662000,"Riverside, CA",Riverside County Regional Park and Open-Space District (Countywide Agency w/ no authority within Cities),357, 718 , -   , 718 , -   ,, -   
0662000,"Riverside, CA","Riverside Parks, Recreation and Community Services Department",340," 3,011 ", 683 ," 2,328 ", 72 ,, -   
PS0664000,"Sacramento, CA",Total,," 6,090 "," 3,527 "," 2,563 ", 241 ,," 1,755 "
PS0664000,"Sacramento, CA",California Department of Parks and Recreation (within Sacramento),279, 7 , 7 , -   , 5 ,, -   
PS0664000,"Sacramento, CA","Department of Youth, Parks, and Community Enrichment",84," 4,337 "," 3,210 "," 1,127 ", 236 ,," 1,755 "
PS0664000,"Sacramento, CA",Sacramento County Department of Regional Parks (within Sacramento city),376," 1,746 ", 310 ," 1,436 ", -   ,, -   
4865000,"San Antonio, TX",Total,," 32,858 "," 11,515 "," 21,343 ", 292 ,, 874 
4865000,"San Antonio, TX",Bexar Heritage Department (within San Antonio),407, 450 , 200 , 250 , -   ,, -   
4865000,"San Antonio, TX",San Antonio Missions National Historical Park,280, 730 , 20 , 710 , -   ,, -   
4865000,"San Antonio, TX",San Antonio Parks and Recreation Department,72," 18,494 "," 11,102 "," 7,392 ", 292 ,, 874 
4865000,"San Antonio, TX",San Antonio River Authority,584, 689 , 72 , 617 , -   ,, -   
4865000,"San Antonio, TX",Texas Parks and Wildlife Department (San Antonio),403," 12,495 ", 121 ," 12,374 ", -   ,, -   
0666000,"San Diego, CA",Total,," 41,620 "," 8,063 "," 33,557 ", 434 ,, 106 
0666000,"San Diego, CA",Cabrillo National Monument,235, 160 , 16 , 144 , -   ,, -   
0666000,"San Diego, CA",California Department of Parks and Recreation (within San Diego),218," 1,508 ", -   ," 1,508 ", -   ,, -   
0666000,"San Diego, CA",City of San Diego Parks and Recreation Department,27," 35,631 "," 7,955 "," 27,676 ", 425 ,, 106 
0666000,"San Diego, CA",San Diego Unified Port District (Port of San Diego),318, 251 , 83 , 168 , -   ,, -   
0666000,"San Diego, CA",San Diego County Parks and Recreation (within San Diego city),252," 4,010 ", 9 ," 4,001 ", 9 ,, -   
0666000,"San Diego, CA","USFWS, San Diego Bay National Wildlife Refuge and San Diego National Wildlife Refuge (within San Diego)",375, 60 , -   , 60 , -   ,, -   
PS0667000,"San Francisco, CA",Total,," 5,837 "," 3,324 "," 2,513 ", 226 ,, -   
PS0667000,"San Francisco, CA",California Department of Parks and Recreation (within San Francisco),233, 156 , -   , 156 , -   ,, -   
PS0667000,"San Francisco, CA","City and County of San Francisco (Housing, Mayor, Public Library, SFPUC)",942, 3 , 3 , -   , -   ,, -   
PS0667000,"San Francisco, CA",Golden Gate National Recreation Area (within San Francisco),49, 839 , 277 , 562 , -   ,, -   
PS0667000,"San Francisco, CA",Office of Community Investment and Infrastructure (Mission Bay),903, 23 , 23 , -   , -   ,, -   
PS0667000,"San Francisco, CA",Port of San Francisco,944, 128 , 69 , 59 , -   ,, -   
PS0667000,"San Francisco, CA",Presidio Trust (within San Francisco),116," 1,180 ", 320 , 860 , 1 ,, -   
PS0667000,"San Francisco, CA",Real Estate Division (Plazas + Twin Peaks Viewing),996, 2 , 2 , -   , -   ,, -   
PS0667000,"San Francisco, CA",San Francisco Maritime National Historical Park,473, 30 , 30 , -   , -   ,, -   
PS0667000,"San Francisco, CA",San Francisco Recreation and Parks Department,7," 3,372 "," 2,496 ", 876 , 225 ,, -   
PS0667000,"San Francisco, CA",SF Municipal Transit Agency (MTA),904, 2 , 2 , -   , -   ,, -   
PS0667000,"San Francisco, CA",Transbay JPA,945, 5 , 5 , -   , -   ,, -   
PS0667000,"San Francisco, CA",East Cut Crossing,1021, 3 , 3 , -   , -   ,, -   
PS0667000,"San Francisco, CA",Green Benefit District,1022, 7 , 7 , -   , -   ,, -   
PS0667000,"San Francisco, CA",Treasure Island Development Authority,946, 78 , 78 , -   , -   ,, -   
PS0667000,"San Francisco, CA",Yerba Buena Garden Conservancy,997, 8 , 8 , -   , -   ,, -   
0668000,"San Jose, CA",Total,," 15,222 "," 3,148 "," 12,074 ", 224 ,, -   
0668000,"San Jose, CA",Don Edwards San Francisco Bay National Wildlife Refuge (within San Jose),316," 5,611 ", -   ," 5,611 ", -   ,, -   
0668000,"San Jose, CA","San Jose Department of Parks, Recreation and Neighborhood Services",75," 3,621 "," 2,120 "," 1,501 ", 212 ,, -   
0668000,"San Jose, CA",Santa Clara County Parks and Recreation (within San Jose),281," 2,305 "," 1,028 "," 1,277 ", 6 ,, -   
0668000,"San Jose, CA",Santa Clara Valley Open Space Authority ,317," 3,685 ", -   ," 3,685 ", 6 ,, -   
0669000,"Santa Ana, CA",Total,, 609 , 600 , 10 , 49 ,, 17 
0669000,"Santa Ana, CA",Orange County Parks (within Santa Ana),482, 229 , 229 , -   , -   ,, 17 
0669000,"Santa Ana, CA",Santa Ana Public Works Agency- Park Services Division,323, 380 , 371 , 10 , 49 ,, -   
0669088,"Santa Clarita, CA",Total,," 10,867 ", 417 ," 10,450 ", 37 ,, -   
0669088,"Santa Clarita, CA",City of Santa Clarita,1015," 10,867 ", 417 ," 10,450 ", 37 ,, -   
0465000,"Scottsdale, AZ",Total,," 31,598 "," 1,018 "," 30,580 ", 44 ,, 734 
0465000,"Scottsdale, AZ",Scottsdale Parks and Recreation Division,385," 31,598 "," 1,018 "," 30,580 ", 44 ,, 734 
5363000,"Seattle, WA",Total,," 6,481 "," 3,897 "," 2,584 ", 490 ,, -   
5363000,"Seattle, WA",Seattle Parks and Recreation,19," 6,439 "," 3,855 "," 2,584 ", 490 ,, -   
5363000,"Seattle, WA",The Port of Seattle,471, 42 , 42 , -   , -   ,, -   
5367000,"Spokane, WA",Total,," 2,910 "," 1,937 ", 973 , 99 ,, 196 
5367000,"Spokane, WA",Avista Corporation,931, 6 , 6 , -   , 2 ,, -   
5367000,"Spokane, WA",Spokane Parks and Recreation Department,443," 2,904 "," 1,931 ", 973 , 97 ,, 196 
2965000,"St. Louis, MO",Total,," 3,894 "," 3,709 ", 185 , 111 ,, 316 
2965000,"St. Louis, MO",Gateway Arch National Park,208, 91 , 91 , -   , -   ,, -   
2965000,"St. Louis, MO","St. Louis Department of Parks, Recreation and Forestry",16," 3,467 "," 3,312 ", 155 , 109 ,, 300 
2965000,"St. Louis, MO",The Great Rivers Greenway District (within St. Louis),405, 47 , 21 , 26 , 2 ,, 16 
2965000,"St. Louis, MO",Tower Grove Park Commission,99, 289 , 285 , 4 , -   ,, -   
2758000,"St. Paul, MN",Total,," 4,974 "," 1,788 "," 3,187 ", 191 ,, 244 
2758000,"St. Paul, MN","Minnesota DNR Division of Parks and Trails (within St. Paul) - only undeveloped land,",370, 234 , -   , 234 , -   ,, -   
2758000,"St. Paul, MN",Ramsey County Parks and Recreation Department (Parks within the City of Saint Paul),361," 1,232 ", 10 ," 1,222 ", 6 ,, -   
2758000,"St. Paul, MN",Saint Paul Parks and Recreation Department,346," 3,508 "," 1,778 "," 1,731 ", 185 ,, 244 
1263000,"St. Petersburg, FL",Total,," 5,343 "," 2,082 "," 3,261 ", 209 ,, -   
1263000,"St. Petersburg, FL",Pinellas County Parks & Conservation Resources (within St. Petersburg),363," 2,378 ", 12 ," 2,366 ", -   ,, -   
1263000,"St. Petersburg, FL",St. Petersburg Parks & Recreation Department,350," 2,965 "," 2,070 ", 895 , 209 ,, -   
0675000,"Stockton, CA",Total,," 1,199 "," 1,129 ", 70 , 66 ,, 45 
0675000,"Stockton, CA",Stockton Public Works Department and Community Services Department,381," 1,199 "," 1,129 ", 70 , 66 ,, 45 
1271000,"Tampa, FL",Total,," 5,045 "," 2,533 "," 2,512 ", 191 ,, -   
1271000,"Tampa, FL",Hillsborough County Conservation and Environmental Lands Management (within Tampa),637, 959 , 10 , 949 , -   ,, -   
1271000,"Tampa, FL",Hillsborough County Parks and Recreation Dept. (within Tampa),246, 54 , 54 , -   , -   ,, -   
1271000,"Tampa, FL",Tampa Parks and Recreation Department,115," 3,580 "," 2,017 "," 1,563 ", 191 ,, -   
1271000,"Tampa, FL",Tampa Sports Authority,45, 453 , 453 , -   , -   ,, -   
3977000,"Toledo, OH",Total,," 3,133 "," 1,725 "," 1,408 ", 136 ,, -   
3977000,"Toledo, OH",Metroparks of the Toledo Area,478," 1,109 ", 188 , 921 , 7 ,, -   
3977000,"Toledo, OH",Toledo Department of Parks & Youth Services,76," 2,024 "," 1,537 ", 487 , 129 ,, -   
PS0477000,"Tucson, AZ",Total,," 5,957 "," 3,367 "," 2,590 ", 133 ,, 475 
PS0477000,"Tucson, AZ","Pima County Natural Resources, Parks and Recreation Department (within Tucson)",283," 2,053 ", 753 ," 1,300 ", -   ,, -   
PS0477000,"Tucson, AZ",Sonoran Desert Mountain Bicyclists (Fantasy Island),999, 362 , 362 , -   , -   ,, -   
PS0477000,"Tucson, AZ",Tucson Parks and Recreation Department,90," 3,542 "," 2,252 "," 1,290 ", 133 ,, 475 
4075000,"Tulsa, OK",Total,," 8,125 "," 3,361 "," 4,764 ", 136 ,, -   
4075000,"Tulsa, OK",City of Tulsa Park & Recreation Department,81," 6,607 "," 2,553 "," 4,054 ", 133 ,, -   
4075000,"Tulsa, OK",GGP Parks,958, 103 , 73 , 30 , 2 ,, -   
4075000,"Tulsa, OK",River Parks Authority,284," 1,125 ", 445 , 680 , 1 ,, -   
4075000,"Tulsa, OK",Tulsa County Parks (within city of Tulsa),303, 290 , 290 , -   , -   ,, -   
5182000,"Virginia Beach, VA",Total,," 25,841 "," 3,803 "," 22,038 ", 1 ,, -   
5182000,"Virginia Beach, VA",Back Bay National Wildlife Refuge (within Virginia Beach),399," 9,175 ", -   ," 9,175 ", 1 ,, -   
5182000,"Virginia Beach, VA",Mackay Island National Wildlife Refuge (within Virginia Beach),400, 808 , -   , 808 , -   ,, -   
5182000,"Virginia Beach, VA",Virginia Beach Department of Parks and Recreation,86," 7,101 "," 3,678 "," 3,423 ", -   ,, -   
5182000,"Virginia Beach, VA",Virginia Department of Conservation and Recreation  (within Virginia Beach),285," 7,211 ", 125 ," 7,086 ", -   ,, -   
5182000,"Virginia Beach, VA",Virginia Department of Wildlife Resources,398," 1,546 ", -   ," 1,546 ", -   ,, -   
1150000,"Washington, DC",Total,," 9,291 "," 4,869 "," 4,423 ", 239 ,, 5 
1150000,"Washington, DC",District of Columbia Department of Parks and Recreation,95, 854 , 738 , 117 , 239 ,, 5 
1150000,"Washington, DC",National Arboretum,462, 446 , 200 , 246 , -   ,, -   
1150000,"Washington, DC","National Park Service, National Capital Region",98," 7,991 "," 3,931 "," 4,060 ", -   ,, -   
2079000,"Wichita, KS",Total,," 4,099 "," 1,677 "," 2,422 ", 116 ,, 742 
2079000,"Wichita, KS",Wichita Park and Recreation Department,88," 4,099 "," 1,677 "," 2,422 ", 116 ,, 742 
3775000,"Winston-Salem, NC",Total,," 3,797 "," 3,724 ", 72 , 89 ,, -   
3775000,"Winston-Salem, NC",Winston-Salem Recreation and Parks,408," 3,797 "," 3,724 ", 72 , 89 ,, -   
,,,,,,,,,
,,,,,,,,,
,Definitions,,,,,,,,
,Natural Lands,"Natural lands are either pristine or reclaimed areas that are open to the public and left largely undisturbed and managed for their conservation and ecological value (i.e., wetlands, forests, deserts). While they may have trails and occasional benches, they are not developed for any recreation activities beyond walking, running, and cycling. ",,,,,,,
,Designed lands,"Designed lands are parklands that have been created, constructed, planted, and managed primarily for human use. They include playgrounds, neighborhood parks, mini-parks, picnic meadows, sports fields, plazas, boulevards, municipal golf courses, municipal cemeteries, and all areas served by roadways, parking lots and service buildings and facilities.",,,,,,,
,Undeveloped,This is land owned by your agency but that has not yet been formally opened or developed for public use and is not managed or patrolled.,,,,,,,
,Non-parkland,"Non-parkland is land owned and/or managed by your agency that does not fit into the categories in above questions. It might include right-of-ways, medians, etc.",,,,,,,
